1,"Wyspy Owcze",805,794,-11,"-1,37",24,"M"
2,"Barbados",4089,4038,-51,"-1,25",18,"M"
3,"Seszele",1613,1593,-20,"-1,24",24,"M"
4,"Nowa Zelandia",67141,67298,157,"0,23",104,"T"
5,"Norwegia",81162,82219,1057,"1,3",104,"T"
6,"Grenlandia",1035,1050,15,"1,45",24,"M"
7,"Antigua i Barbuda",1199,1223,24,2,24,"M"
8,"Dania",108881,111250,2369,"2,18",104,"T"
9,"Tajwan",349080,356888,7808,"2,24",24,"M"
10,"Islandia",4508,4631,123,"2,73",104,"T"
11,"Australia",323443,332676,9233,"2,85",104,"T"
12,"Japonia",2750245,2836833,86588,"3,15",24,"M"
13,"Mongolia",34536,35851,1315,"3,81",24,"M"
14,"Finlandia",108189,112311,4122,"3,81",104,"T"
15,"Makao",4351,4550,199,"4,57",24,"M"
16,"Szwecja",180476,188736,8260,"4,58",104,"T"
17,"Korea Południowa",592110,619910,27800,"4,7",104,"T"
18,"Luksemburg",8588,9053,465,"5,41",104,"T"
19,"Niemcy",1889067,1992701,103634,"5,49",104,"T"
20,"Hongkong",96357,101834,5477,"5,68",24,"M"
21,"Monako",1050,1114,64,"6,1",24,"M"
22,"Urugwaj",68935,73237,4302,"6,24",24,"M"
23,"Irlandia",62410,66335,3925,"6,29",24,"M"
24,"Kanada",523630,558930,35300,"6,74",96,"T"
25,"Reunion",10118,10927,809,8,104,"T"
26,"Malezja",257947,279066,21119,"8,19",18,"M"
27,"Francja",1192946,1291440,98494,"8,26",104,"T"
28,"Singapur",42728,46274,3546,"8,3",24,"M"
29,"Szwajcaria",134403,145862,11459,"8,53",104,"T"
30,"Belgia",218777,237800,19023,"8,7",104,"T"
31,"Tajlandia",979752,1065088,85336,"8,71",24,"M"
32,"Dominika",72335,79002,6667,"9,22",20,"M"
33,"Liechtenstein",537,587,50,"9,31",24,"M"
34,"Austria",163548,179424,15876,"9,71",104,"T"
35,"Izrael",90210,99019,8809,"9,76",104,"T"
36,"Malta",7356,8077,721,"9,8",104,"T"
37,"Portugalia",224166,247116,22950,"10,24",104,"T"
38,"Cypr",12016,13272,1256,"10,45",104,"T"
39,"Holandia",304534,337218,32684,"10,73",104,"T"
40,"Mauritius",21961,24334,2373,"10,81",24,"M"
41,"Estonia",31016,34398,3382,"10,9",104,"T"
42,"Portoryko",58199,64699,6500,"11,17",104,"T"
43,"Wielka Brytania",1213841,1350787,136946,"11,28",104,"T"
44,"Łotwa",56375,62744,6369,"11,3",104,"T"
45,"Grecja",244490,273874,29384,"12,02",104,"T"
46,"Hiszpania",838908,944394,105486,"12,57",104,"T"
47,"Włochy",1281848,1446678,164830,"12,86",104,"T"
48,"Uzbekistan",309483,350177,40694,"13,15",24,"M"
49,"Węgry",259890,294785,34895,"13,43",104,"T"
50,"Ukraina",1168779,1331098,162319,"13,89",24,"M"
51,"Słowenia",40975,46709,5734,"13,99",104,"T"
52,"Chorwacja",104173,119058,14885,"14,29",104,"T"
53,"Litwa",77636,89711,12075,"15,55",104,"T"
54,"Mołdowa",73970,86102,12132,"16,4",24,"M"
55,"Jamajka",34256,40056,5800,"16,93",22,"M"
56,"Katar",4585,5401,816,"17,8",24,"M"
57,"Gruzja",93183,110443,17260,"18,52",24,"M"
58,"Czechy",224644,267123,42479,"18,91",104,"T"
59,"Kostaryka",48054,57290,9236,"19,22",24,"M"
60,"Kirgistan",66284,79170,12886,"19,44",24,"M"
61,"Stany Zjednoczone",5691707,6813291,1121584,"19,71",104,"T"
62,"Naddniestrze",13537,16238,2701,"19,95",24,"M"
63,"Martynika",6813,8187,1374,"20,17",104,"T"
64,"Rumunia",521933,627408,105475,"20,21",104,"T"
65,"Polska",818936,992493,173557,"21,19",104,"T"
66,"Tunezja",93377,113383,20006,"21,42",16,"M"
67,"Afryka Południowa",1052446,1278033,225587,"21,43",104,"T"
68,"Chile",215806,262304,46498,"21,55",104,"T"
69,"Czarnogóra",10731,13048,2317,"21,59",86,"T"
70,"Gujana Francuska",1875,2283,408,"21,76",104,"T"
71,"Słowacja",107252,131175,23923,"22,31",104,"T"
72,"Filipiny",1107817,1364390,256573,"23,16",22,"M"
73,"Aruba",1382,1707,325,"23,52",24,"M"
74,"Egipt",1130340,1398286,267946,"23,7",24,"M"
75,"Gwadelupa",6587,8179,1592,"24,17",104,"T"
76,"Polinezja Francuska",2390,2969,579,"24,23",18,"M"
77,"Bośnia i Hercegowina",73435,91306,17871,"24,34",24,"M"
78,"Serbia",203113,252979,49866,"24,55",24,"M"
79,"Panama",33363,41889,8526,"25,56",20,"M"
80,"Bułgaria",216020,272244,56224,"26,03",104,"T"
81,"Rosja",3627218,4584096,956878,"26,38",24,"M"
82,"Gwatemala",163137,209208,46071,"28,24",102,"T"
83,"Brazylia",2666521,3425372,758851,"28,46",24,"M"
84,"Liban",50045,65342,15297,"30,57",24,"M"
85,"Kazachstan",264004,345970,81966,"31,05",24,"M"
86,"Oman",17560,23080,5520,"31,44",24,"M"
87,"San Marino",495,655,160,"32,32",24,"M"
88,"Albania",43741,58185,14444,"33,02",24,"M"
89,"Azerbejdżan",113697,152525,38828,"34,15",24,"M"
90,"Armenia",51897,70009,18112,"34,9",24,"M"
91,"Macedonia Północna",40139,54224,14085,"35,09",24,"M"
92,"Paragwaj",66136,89388,23252,"35,16",24,"M"
93,"Iran",756390,1031325,274935,"36,35",104,"T"
94,"Majotta",1463,2017,554,"37,87",104,"T"
95,"Kolumbia",475615,658545,182930,"38,46",104,"T"
96,"Kosowo",18428,25628,7200,"39,07",24,"M"
97,"Meksyk",1449422,2126679,677257,"46,73",104,"T"
98,"Ekwador",145248,219617,74369,"51,2",104,"T"
99,"Boliwia",103568,161406,57838,"55,85",24,"M"
100,"Peru",227072,473070,245998,"108,33",104,"T"
